Region,Month,Year,Utility,Usage
Full Campus,September,2017,Gas,6951
Full Campus,October,2017,Gas,7794
Full Campus,November,2017,Gas,2591
Full Campus,December,2017,Gas,5038
Full Campus,January,2018,Gas,11555
Full Campus,February,2018,Gas,10028
Full Campus,March,2018,Gas,5113
Full Campus,April,2018,Gas,4839
Full Campus,May,2018,Gas,4548
Full Campus,June,2018,Gas,5377
Full Campus,July,2018,Gas,6505
Full Campus,August,2018,Gas,4904
Full Campus,September,2018,Gas,4316
Full Campus,October,2018,Gas,2191
Full Campus,November,2018,Gas,3829
Full Campus,December,2018,Gas,6504
Full Campus,January,2019,Gas,8425
Full Campus,February,2019,Gas,4084
Full Campus,March,2019,Gas,4792
Full Campus,April,2019,Gas,3206
Full Campus,May,2019,Gas,3318
Full Campus,June,2019,Gas,6882
